epoch,acc,nll,ece
1,0.122700,3.804024,0.079470
2,0.188200,3.318550,0.049466
3,0.240300,3.074731,0.049818
4,0.274300,2.867182,0.052330
5,0.305700,2.702559,0.032023
6,0.338100,2.578782,0.048652
7,0.347400,2.512575,0.045475
8,0.336600,2.639195,0.058485
9,0.395800,2.305616,0.035820
10,0.422300,2.201761,0.034363
11,0.427800,2.149823,0.023875
12,0.457600,2.030143,0.021712
13,0.468300,2.004933,0.043207
14,0.488400,1.889995,0.048729
15,0.502900,1.831368,0.037575
16,0.521300,1.770033,0.050355
17,0.539500,1.685299,0.053956
18,0.553500,1.635649,0.050690
19,0.557300,1.628209,0.055553
20,0.557400,1.622290,0.054489
1,0.153600,3.560976,0.006432
1,0.153600,3.560976,0.006432
1,0.153600,3.560976,0.006432
1,0.153600,3.560976,0.006432
1,0.152400,3.552311,0.008293
